E-Liquid,,,,,,,
Don,E-Liquids > Class A,15.99,0mg,60ml,Mango and Apple.,70/30,https://royalvapor.de/media/image/product/2360/lg/don-e-liquid-50ml-class-a-by-nasty.jpg
Bad Guy,E-Liquids > Class A,15.99,0mg,60ml,Strawberry and Peach.,70/30,https://royalvapor.de/media/image/product/2361/md/bad-guy-e-liquid-50ml-class-a-by-nasty.jpg
Narco,E-Liquids > Class A,15.99,0mg,60ml,Blackurrant and Lime.,70/30,https://royalvapor.de/media/image/product/2358/lg/narco-e-liquid-50ml-class-a-by-nasty.jpg
Mango Guava,E-Liquids > Juice Assassin,15.99,0mg,60ml,Mango and Guava.,70/30,http://i2.wp.com/www.ecigs.net.au/wp-content/uploads/2016/02/guava-aussie-blue-eliquids.jpg
Ribena Grape,E-Liquids > Juice Assassin,15.99,0mg,60ml,Ribena and Grape.,70/30,http://i.imgur.com/d5cAL7B.jpg
Juicy,E-Liquids > Fog Em Up,15.99,0mg,60ml,Mango and Peach.,70/30,http://www.washington-vapes.co.uk/wp-content/uploads/2017/06/DSC03893--400x400.jpg
Chroinic,E-Liquids > Fog Em Up,15.99,0mg,60ml,Blackcurrant and Pineapple.,70/30,http://www.washington-vapes.co.uk/wp-content/uploads/2017/06/DSC03894--400x400.jpg
The Grape White,E-Liquids > Lost Art,15.99,0mg,60ml,"Grape White by Lost Art Liquids is the one of the most popular flavour profile for the smash hit line. Starting off with a sweet and juicy white grape, then blended with a candy apple and topped with a touch of tangy citrus. Perfect for the summer weather right around the corner!",70/30,http://cdn1.bigcommerce.com/n-ww20x/zw0v76l/products/1091/images/3832/LOST_ART_GRAPE_WHITE__21949.1497450323.1280.1280.jpg
O.G.B,E-Liquids > Lost Art,15.99,0mg,60ml,O.G.B is a blue raspberry popsicle with a burst of sweet orange and green apple candy. ,70/30,http://i.imgur.com/0OULR0O.jpg
Cotton Candy,E-Liquids > Snatch Bubblegum,15.99,0mg,60ml,"Cotton Candy bubble, sweet and sticky this one has the sugary taste of cotton candy with the amazing exhale of american pink bubblegum.",70/30,https://cdn.shopify.com/s/files/1/1532/3957/products/DSC1031_530x.jpg
Red Melon,E-Liquids > Snatch Bubblegum,15.99,0mg,60ml,Red Melon bubblegum is a perfect blend of juicy red watermelon paired with sweet sticky american bubblegum.,70/30,https://cdn.shopify.com/s/files/1/1532/3957/products/DSC1030_530x.jpg
Tutti Fruity,E-Liquids > Snatch Bubblegum,15.99,0mg,60ml,Tutti Fruity bubblegum is an amazing tutti fruity mixed fruit blend paired with a sweet sticky bubblegum this one is a definite all day.,70/30,https://cdn.shopify.com/s/files/1/1532/3957/products/DSC1028_530x.jpg
Magno Strawberry,E-Liquids > Tropical Paradise,15.99,0mg,60ml,Mango and Strawberry.,70/30,https://www.svapoforniture.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/p/i/pineapple_orange_1_1_1.jpg
Pineapple Orange,E-Liquids > Tropical Paradise,15.99,0mg,60ml,Pineapple and Orange.,70/30,https://www.svapoforniture.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/m/a/mango_strawberry_1_1_1.jpg
Guava Peach,E-Liquids > Tropical Paradise,15.99,0mg,60ml,Guava and Peach.,70/30,https://www.svapoforniture.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/u/guava_peach_2_1_1.jpg
Watermelon Lychee,E-Liquids > Tropical Paradise,15.99,0mg,60ml,Watermelon and Lychee.,70/30,https://www.svapoforniture.com/media/catalog/product/cache/3/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/w/a/watermelon_lyche_1_1.jpg
